ward_code,ward,lga,state,worldpop_total,meta_total,meta_u5,grid3_v3_total,worldpop_u5
KN0307,Rimin Dako,Bagwai,Kano,23209.1,29931.7,6136.4,31899.0,4721.2
41703,Gamzago,Kafur,Katsina,28893.1,29968.8,6396.5,38336.6,6078.8
JI2402,Baragumi,Roni,Jigawa,19667.2,17789.2,3608.2,15394.5,4106.9
42706,Karau,Mashi,Katsina,31206.4,32722.8,7096.8,43929.5,6676.1
42701,Bamle,Mashi,Katsina,29633.0,33077.2,7232.4,40897.8,6330.4
42702,Doguru A,Mashi,Katsina,20701.8,19427.1,4213.5,26874.6,4438.7
BA0304,Boi,Bogoro,Bauchi,19482.3,22663.6,4127.4,13680.4,3478.3
42010,Tsa Magam,Kankia,Katsina,22080.5,21493.7,4557.2,37385.6,4605.8
BA1602,Sambuwal,Shira,Bauchi,8821.0,8045.5,1581.5,15242.5,1699.4
40301,Abadau Kagara,Batsari,Katsina,38050.0,33531.7,7122.8,30957.6,8043.2
40902,Dandire A,Dan Musa,Katsina,12633.8,13724.0,2837.4,15131.9,2570.0
BA1705,Tapshin,Tafawa-Balewa,Bauchi,21572.0,16823.5,3096.0,28938.8,3867.5
BA1102,Jama'are B,Jama'Are,Bauchi,3008.2,4599.3,916.6,4131.9,1031.3
42506,Makaurachi,Malumfashi,Katsina,18665.8,18877.8,3998.7,22266.3,3893.4
JI2704,Gurjiya,Yankwashi,Jigawa,16504.2,12132.4,2538.4,22182.7,3458.9
KN1401,Dal,Garko,Kano,26461.7,35994.4,7166.4,35391.3,6148.5
JI0606,Kachi,Dutse,Jigawa,74731.6,72707.8,14226.9,81196.7,15863.6
BA1608,Shira,Shira,Bauchi,36210.3,39580.2,7954.8,26403.4,7503.6
KN4008,Yankamaye,Tsanyawa,Kano,30364.2,34006.8,7140.0,28850.2,6365.3
43210,Zakka B,Safana,Katsina,19139.7,21347.8,4495.9,18917.2,3987.9
BA1815,Wonu South,Toro,Bauchi,15495.4,17744.0,3614.1,22841.5,3104.2
BA0211,Dan Iya,Bauchi,Bauchi,98258.7,120026.4,22883.4,136815.4,18521.8
BNSTKP04,Entekpa,Oturkpo,Benue,5027.8,3865.6,683.8,6007.6,867.1
BNSUKM09,Mbayenge,Ukum,Benue,7486.0,8381.5,1586.3,23247.9,1392.2
JI2408,Sankau,Roni,Jigawa,8147.7,7017.8,1389.5,7519.7,1661.5
42410,Natsalle,Mai'Adua,Katsina,28624.5,22686.1,4710.0,39090.0,5956.4
40509,Shibdawa,Bindawa,Katsina,18911.4,19097.8,3971.8,20138.0,3873.5
40504,Doro,Bindawa,Katsina,26643.5,29455.3,6100.6,26752.2,6050.3
JI0408,Kazura,Biriniwa,Jigawa,20532.5,21710.7,4432.5,16878.9,4150.1
EBSBZR24,Umuodigbo,Ohaozara,Ebonyi,12411.2,16820.4,2100.6,9792.8,1573.9
KN1001,Danguguwa,Dawakin Tofa,Kano,28439.1,26946.2,5493.4,28066.2,5942.6
BNSWNN10,Tongov,Tarka,Benue,7002.2,7666.2,1575.8,5000.5,1411.1
BNSWNN05,Mbakwakem,Tarka,Benue,5445.3,1788.1,367.5,4172.1,1092.5
42508,Malumfashi B,Malumfashi,Katsina,31998.1,34358.9,7241.7,44134.0,7841.6
JI0508,Lelen Kudu,Buji,Jigawa,18872.3,22902.4,4706.0,19517.1,3829.9
JI1605,Girbobo,Kaugama,Jigawa,12701.6,12251.4,2468.9,14560.7,2549.2
71005,Gasma,Karasuwa,Yobe,12053.1,8842.4,1708.0,12823.7,2297.8
OYSIJA01,Ajimati / Ojaoba,Iwajowa,Oyo,6599.6,4929.5,605.6,3807.6,1017.5
EBSCHR17,Ndiegu Igbudu / Igbudu 1 / Uduku,Ikwo,Ebonyi,7981.1,11883.0,1730.5,7652.9,1152.9
EBSBKL18,Ndubia,Izzi,Ebonyi,18194.5,46999.0,8566.0,17736.9,3163.7
70510,Damagum B,Fune,Yobe,60953.0,27577.8,5449.4,35584.4,12317.4
BYSYEN13,Gbarain 3,Yenegoa,Bayelsa,8206.3,7588.6,930.2,9378.8,1510.5
BA1803,Ribina East,Toro,Bauchi,29584.3,33804.4,6885.2,37680.6,5945.8
40511,Yangora,Bindawa,Katsina,8090.4,11509.1,2471.7,14687.1,1714.0
KGSSAN03,Ifeolukotun 1,Yagba East,Kogi,4986.7,5186.6,870.6,6298.1,833.6
BA1801,Toro,Toro,Bauchi,40885.8,42327.1,8621.1,53238.6,8334.2
81310,Yankuzo B,Tsafe,Zamfara,12550.5,16322.6,3327.1,14483.8,2804.2
AKSDRK09,Ikpe Ikot Nkon / Ikpe 2,Ini,Akwa Ibom,16694.5,18868.3,2334.8,8170.4,2207.5
OYSKAA09,Iwere / Ilaji,Kajola,Oyo,1518.2,212.7,26.5,2714.0,181.6
KN4109,Shuwaki,Tudun Wada,Kano,23199.2,21486.4,4348.2,21449.4,4957.1
42403,Danyashe,Mai'Adua,Katsina,31168.3,31713.3,6519.4,35118.4,6946.9
NASLFA09,Keffin Wambai,Lafia,Nasarawa,20649.9,24121.1,4548.7,29335.2,3832.2
KN4111,Yaryasa,Tudun Wada,Kano,43603.3,40426.4,8164.6,32710.5,9230.2
AKSKET04,Urban 1,Eket,Akwa Ibom,18430.6,21431.2,2652.1,17376.2,2238.2
BA1515,Nasaru B,Ningi,Bauchi,23982.9,18239.8,3754.8,17790.6,4891.3
40607,Majen Wayya,Charanchi,Katsina,25852.4,6048.4,1276.1,22398.6,5376.0
JI2407,Roni,Roni,Jigawa,10438.2,12776.9,2529.8,13619.3,2251.6
BA1612,Bangire,Shira,Bauchi,23069.2,26036.8,5232.9,19325.0,4566.7
71707,Tulotulo,Yusufari,Yobe,15600.3,18750.3,3515.6,31362.0,2868.5
AKSDUU09,Central Uruan 1,Uruan,Akwa Ibom,26560.0,26534.3,3427.7,22072.1,3362.4
JI0805,Jirima,Garki,Jigawa,14160.6,17868.5,3691.2,19578.3,2899.2
42609,Mani,Mani,Katsina,24557.6,26307.1,5665.6,32860.9,5292.6
42407,Mai'adua C,Mai'Adua,Katsina,15764.5,21454.0,4535.3,18515.1,3560.1
BA1610,Tumfafi,Shira,Bauchi,30445.5,34959.0,7028.5,29476.4,6029.3
BA1603,Bukul,Shira,Bauchi,19068.7,13702.4,2752.1,13276.8,3819.8
KN4405,Indabo,Wudil,Kano,8291.1,12030.5,2211.2,13227.1,1987.9
BA0301,Badagari,Bogoro,Bauchi,5566.7,7687.5,1399.9,3183.0,994.9
AKSDRK02,Nkari,Ini,Akwa Ibom,9846.4,5358.1,678.7,8501.9,1208.3
JI0307,Sundimina,Birnin Kudu,Jigawa,46095.9,48562.9,9853.8,63958.6,9273.4
BA1605,Faggo A,Shira,Bauchi,24266.6,10193.9,2004.2,14841.2,4730.8
KN4310,Madari,Warawa,Kano,8323.6,11255.1,2168.4,21034.3,1580.2
BA1607,Kilbori A,Shira,Bauchi,23620.4,29925.4,5983.7,21369.3,4646.4
BA1614,Disina B,Shira,Bauchi,13733.6,7257.5,1465.6,9423.4,2739.5
JI0507,Kukuma,Buji,Jigawa,28690.9,30301.7,6197.8,27303.0,5785.5
42511,Yaba,Malumfashi,Katsina,31004.9,36284.1,7603.9,37707.8,6409.8
40903,Dandire B,Dan Musa,Katsina,9404.6,8970.5,1864.8,9554.5,1921.4
BA1618,Yana,Shira,Bauchi,33416.0,33505.9,6734.0,18370.0,7951.5
42707,Majigiri,Mashi,Katsina,25160.7,25306.9,5406.9,25380.3,5279.4
JI0709,Yalawa,Gagarawa,Jigawa,4931.4,6256.9,1261.0,7460.1,985.7
JI0305,Kwangwara,Birnin Kudu,Jigawa,21666.1,25570.3,5138.9,26964.5,4311.0
JI0310,Wurno,Birnin Kudu,Jigawa,65396.3,53466.8,10756.7,51670.5,13120.0
BA0305,Project,Bogoro,Bauchi,7825.9,8965.7,1749.0,6801.0,1494.9
BA1601,Andubun,Shira,Bauchi,17966.0,11984.7,2353.8,23050.1,3475.7
40507,Jibawa,Bindawa,Katsina,22959.7,26920.9,5573.3,24495.8,4675.3
42409,Maikoni B,Mai'Adua,Katsina,12430.0,13603.4,2818.1,16271.6,2550.1
40306,Karare,Batsari,Katsina,20824.7,19721.6,4192.4,19682.5,4366.0
KN3308,Rimin Gado,Rimin Gado,Kano,21248.1,22640.9,4402.3,18185.5,5538.8
43207,Safana,Safana,Katsina,32659.7,33283.1,7009.5,34307.5,7411.9
BA1105,Dogon Jeji A,Jama'Are,Bauchi,4262.9,6370.2,1269.5,4673.6,834.3
BA0312,Lusa,Bogoro,Bauchi,13194.9,14791.4,2693.4,6313.6,2354.5
BA1103,Jama'are C,Jama'Are,Bauchi,6313.6,7287.6,1452.3,3924.8,1865.0
JI0610,Madobi,Dutse,Jigawa,43538.2,44802.9,9078.4,64483.2,8833.7
JI0605,Jigawar Tsada,Dutse,Jigawa,50978.2,43107.2,8430.8,45808.7,10691.9
FCTKUJ04,Gwargwada,Kuje,Fct,9593.1,16423.6,2851.0,3284.8,2768.8
81309,Yankuzo A,Tsafe,Zamfara,19490.6,22474.5,4552.9,22122.4,3925.4
JI0607,Karnaya,Dutse,Jigawa,30291.8,35983.7,7037.5,29989.2,5866.1
KN3304,Dugurawa,Rimin Gado,Kano,14644.1,10294.8,2022.6,8955.0,3030.9
BA1609,Tsafi,Shira,Bauchi,56946.0,53249.6,10715.0,37357.1,11402.1
JI2409,Tunas,Roni,Jigawa,9156.7,11277.0,2244.3,11185.6,1815.3
42210,Wurma B,Kurfi,Katsina,20557.1,15246.1,3217.4,17245.5,4267.1
41803,Dankaba,Kaita,Katsina,20364.7,20022.5,4198.0,22977.8,4213.9
KN0907,Gurjiya,Dawakin Kudu,Kano,26344.8,29097.4,5556.3,22022.7,5614.7
42710,Tamilo A,Mashi,Katsina,15037.0,15362.3,3331.9,16972.4,3214.4
KN0306,Kwajale,Bagwai,Kano,21623.6,28421.0,5830.5,34438.4,4369.3
KN3901,Dindere,Tofa,Kano,7119.6,7999.0,1630.7,8768.1,1438.4
JI1403,Gauza,Jahun,Jigawa,31314.5,28434.9,5795.7,42160.9,6444.5
JI0609,Limawa,Dutse,Jigawa,28720.4,31452.4,6298.0,35287.6,5728.2
BA1503,Nasaru A,Ningi,Bauchi,31721.6,26110.4,5348.3,23914.1,6412.9
KN4007,Tsanyawa,Tsanyawa,Kano,27227.3,33040.7,6927.0,23992.6,6287.5
40501,Baure,Bindawa,Katsina,14902.1,16226.1,3359.2,14428.9,3115.0
KN0909,Tanburawa,Dawakin Kudu,Kano,47477.0,55137.1,10609.3,38504.5,13639.3
42708,Mashi,Mashi,Katsina,44136.6,47824.1,10354.1,55340.7,9939.2
BA0202,Dan Amar B,Bauchi,Bauchi,23402.6,20493.3,3907.1,39923.4,4489.1
41907,Kukasheka,Kankara,Katsina,24888.4,22170.0,4645.5,26136.4,5148.9
AKSDUU05,Southern Uruan 5,Uruan,Akwa Ibom,11470.5,5312.0,686.2,9151.2,1474.9
AKSDYY06,Ikono 1,Uyo,Akwa Ibom,20940.5,16647.9,1830.5,20968.0,2246.5
JI1309,Sabon Garu,Hadejia,Jigawa,21350.3,30539.7,6077.2,24627.2,5532.8
