ward_code,ward,lga,state,worldpop_total,meta_total,meta_u5,grid3_v3_total,worldpop_u5
JI2203,Gwari,Miga,Jigawa,11393.2,12087.0,2439.0,15848.2,2281.7
JI0710,Zarada,Gagarawa,Jigawa,11207.1,11275.6,2263.4,15445.3,2221.4
JI2101,Arki,Malam Madori,Jigawa,12865.3,13366.9,2657.2,19942.6,2523.7
JI1111,Zandam Nagogo,Gwaram,Jigawa,32739.1,29317.8,6046.0,34891.6,6646.3
JI1909,Maje,Kiyawa,Jigawa,16531.1,15972.1,3349.9,20968.9,3441.9
JI2107,Makaddari,Malam Madori,Jigawa,14967.8,12060.5,2397.9,16095.8,2937.0
JI0106,Gamsarka,Auyo,Jigawa,23715.5,15203.7,3066.3,18402.0,4724.7
JI1611,Yalo,Kaugama,Jigawa,9155.3,13015.2,2590.4,16616.1,1802.2
JI1510,Tsarawa,Kafin Hausa,Jigawa,38581.6,59248.8,11820.1,41227.0,7611.9
JI0108,Kafur,Auyo,Jigawa,19228.4,18474.4,3739.6,14270.5,3830.4
JI0703,Garin Chiroma,Gagarawa,Jigawa,6761.0,6805.2,1371.5,9538.0,1346.8
JI1505,Kafin Hausa,Kafin Hausa,Jigawa,64266.6,70245.4,14164.9,44389.2,12779.9
JI2209,Tsakuwawa,Miga,Jigawa,11897.3,10337.1,2085.9,15933.0,2382.6
JI2303,Kafin Babushe,Ringim,Jigawa,20332.9,19207.7,3786.5,32686.2,3986.7
JI2210,Yanduna,Miga,Jigawa,11552.2,10855.6,2190.5,15422.4,2313.5
JI2405,Gora,Roni,Jigawa,13273.1,11110.2,2246.3,16518.5,2643.3
JI1201,Buntusu,Gwiwa,Jigawa,16993.4,17911.2,3546.3,24434.9,3316.1
JI2307,Sankara,Ringim,Jigawa,38387.9,31823.5,6463.3,51407.7,7733.3
JI1203,Darina,Gwiwa,Jigawa,7639.6,8068.2,1597.5,16680.3,1490.8
JI2601,Ajaura,Taura,Jigawa,15509.2,19038.2,4017.2,26855.4,3237.4
JI2003,Fulata,Maigatari,Jigawa,7738.0,8259.5,1634.5,7415.3,1512.4
JI1508,Mezan,Kafin Hausa,Jigawa,49947.0,39282.6,7866.0,49262.3,9879.1
JI2111,Toni Kutara,Malam Madori,Jigawa,45690.2,39543.6,7873.8,40554.7,8962.7
JI1506,Kwazailewa,Kafin Hausa,Jigawa,18389.7,20548.4,4095.2,18210.7,3631.4
JI0801,Buduru,Garki,Jigawa,5498.0,7322.5,1472.4,14579.6,1104.2
JI0705,Madaka,Gagarawa,Jigawa,8348.3,10566.9,2118.6,11234.0,1654.9
JI0811,Sayori,Garki,Jigawa,10992.8,17918.3,3701.4,27032.7,2250.7
JI2102,Dunari,Malam Madori,Jigawa,44749.2,34610.1,6903.1,34301.7,8812.8
JI2607,Maje,Taura,Jigawa,15649.2,18595.5,3993.8,26471.9,3324.3
JI0501,Ahoto,Buji,Jigawa,17676.7,6745.4,1384.9,17659.5,3580.5
JI1610,Unguwar Jibrin,Kaugama,Jigawa,14954.7,14120.0,2811.5,21262.1,2947.4
JI2603,Chukwaikwaiwa,Taura,Jigawa,11892.7,13003.3,2710.3,17161.7,2470.6
JI1606,Hadin,Kaugama,Jigawa,12679.4,7815.5,1555.6,12122.7,2496.1
JI1307,Matsaro,Hadejia,Jigawa,25745.2,25763.4,5202.3,21592.5,5114.4
JI1211,Zauma,Gwiwa,Jigawa,24757.4,21032.8,4193.6,39264.2,4858.4
JI0306,Lafia,Birnin Kudu,Jigawa,34470.8,32848.2,6601.6,41856.1,6857.1
JI0807,Kargo,Garki,Jigawa,25436.4,16261.1,3168.8,44810.7,4948.8
JI0509,Madabe,Buji,Jigawa,10304.0,6963.4,1425.2,12801.8,2080.1
JI0708,Medu,Gagarawa,Jigawa,9680.0,9331.4,1880.6,14877.6,1928.2
JI1809,Tasheguwa,Kiri Kasama,Jigawa,16932.6,18109.1,3591.2,17180.6,3312.3
JI1804,Gayin,Kiri Kasama,Jigawa,13441.7,20060.8,3985.9,14495.9,2642.6
JI0405,Fagi,Biriniwa,Jigawa,15541.9,12994.8,2653.0,13016.7,3138.1
JI1001,Abunabo,Guri,Jigawa,22344.3,18093.9,3559.4,19004.8,4342.0
JI0308,Surko,Birnin Kudu,Jigawa,27521.1,25703.8,5176.0,27240.6,5482.5
JI1411,Kanwa,Jahun,Jigawa,21299.8,27894.7,5722.6,25647.3,4337.7
JI1102,Dingaya,Gwaram,Jigawa,40156.8,45731.7,9398.9,55975.1,8115.1
JI1903,Fake,Kiyawa,Jigawa,19883.8,24445.5,5211.0,39923.3,4196.2
JI2506,Jeke,Sule Tankarkar,Jigawa,10872.1,13840.2,2663.2,27415.7,2059.0
JI1803,Fandum,Kiri Kasama,Jigawa,49895.9,49015.9,9711.3,40885.7,9760.4
JI2508,Sule Tankarkar,Sule Tankarkar,Jigawa,33677.7,23471.7,4500.6,48405.8,6411.0
JI2105,Mairakumi,Malam Madori,Jigawa,14641.7,15638.4,3123.5,18929.3,2882.5
JI0104,Ayan,Auyo,Jigawa,17793.6,14789.7,2936.1,13653.9,3483.6
JI1911,Tsirma,Kiyawa,Jigawa,22344.3,25036.8,5274.4,29477.5,4665.5
JI0602,Chamo,Dutse,Jigawa,20757.3,18296.9,3642.8,36916.4,4076.7
JI0502,Buji,Buji,Jigawa,8882.4,12299.1,2524.7,14187.2,1799.6
JI0303,Kantoga,Birnin Kudu,Jigawa,43889.5,48215.0,9675.3,67178.5,8714.4
JI2602,Chukuto,Taura,Jigawa,14843.7,16911.6,3539.2,40885.1,3091.0
JI0206,Insharuwa,Babura,Jigawa,35364.5,50316.6,9984.5,41873.1,6922.5
JI0301,Birnin Kudu,Birnin Kudu,Jigawa,71390.0,58303.1,11717.3,90873.4,14201.4
JI2205,Koya,Miga,Jigawa,10288.1,11249.6,2265.4,9404.3,2058.3
JI0204,Garu,Babura,Jigawa,33358.2,14839.1,2965.0,25308.4,6587.1
JI0809,Muku,Garki,Jigawa,37252.4,29119.3,5931.3,32822.3,7507.4
JI2610,Taura,Taura,Jigawa,32442.1,31191.8,6700.1,41959.3,6895.0
JI0309,Unguwar Ya,Birnin Kudu,Jigawa,23320.2,29172.2,5840.9,44436.6,4622.5
JI0210,Kyambo,Babura,Jigawa,13395.3,837.8,167.4,16645.8,2645.0
JI1810,Turabu,Kiri Kasama,Jigawa,30657.5,30671.8,6072.6,22128.0,5991.8
JI1310,Yankoli,Hadejia,Jigawa,19669.3,16154.8,3240.2,11974.0,3878.8
GMSGME04,Bolari West,Gombe,Gombe,12268.6,9285.6,1822.2,42591.3,2356.0
GMSGME06,Herwa Gana,Gombe,Gombe,2665.2,2116.7,415.4,10607.2,511.8
GMSGME10,Pantami,Gombe,Gombe,22494.3,17727.0,3478.7,93186.5,4319.7
GMSGME07,Jekadafari,Gombe,Gombe,13932.8,14022.9,2751.8,42717.2,2675.6
GMSGME08,Kumbiya Kumbiya,Gombe,Gombe,2719.7,2381.2,467.3,7908.4,522.3
GMSFKY04,Bajoga West,Funakaye,Gombe,38439.8,42522.2,7921.7,48141.8,7002.1
GMSYDB06,Kanawa / Wajari,Yamaltu/Deba,Gombe,17026.4,6998.2,1376.9,34540.7,3290.1
GMSBLG01,Bambam,Balanga,Gombe,22687.5,30891.3,6231.7,33452.2,4490.3
GMSBLR08,Tanglang,Billiri,Gombe,15556.9,18329.7,3664.4,10554.0,3042.3
GMSDKU09,Wuro Tale,Dukku,Gombe,19736.1,13614.8,2720.0,23009.9,3867.3
GMSBLR10,Tudu Kwaya,Billiri,Gombe,27626.0,24268.2,4843.5,24047.6,5399.5
GMSYDB09,Lubo / Difa / Kinafa,Yamaltu/Deba,Gombe,22794.4,18116.1,3564.3,35518.9,4404.7
GMSAKK01,Akko,Akko,Gombe,19146.5,23779.5,4706.4,39751.5,3708.3
GMSBLG04,Degri,Balanga,Gombe,54383.2,49627.5,9781.2,62507.8,10510.6
GMSKWM01,Bojude,Kwami,Gombe,28826.7,37474.5,7557.5,30352.2,5703.7
GMSGME05,Dawaki,Gombe,Gombe,116189.5,170863.3,31155.5,3634.3,20702.0
GMSGME03,Bolari East,Gombe,Gombe,127948.7,63265.7,11532.2,1090.6,22779.1
GMSGME09,Nasarawo,Gombe,Gombe,70328.4,0.0,0.0,658.0,12519.7
GMSAKK04,Kashere,Akko,Gombe,38341.7,35268.1,6953.8,68927.0,7397.8
